,ID,label
0,10498,FAKE
1,2439,REAL
2,864,REAL
3,4128,REAL
4,662,REAL
5,8430,FAKE
6,1220,REAL
7,9624,FAKE
8,8211,FAKE
9,4099,REAL
10,878,REAL
11,5304,FAKE
12,92,REAL
13,1545,REAL
14,3517,REAL
15,10414,FAKE
16,6109,FAKE
17,6456,FAKE
18,7431,REAL
19,9078,FAKE
20,8054,FAKE
21,5252,REAL
22,219,REAL
23,10223,FAKE
24,6802,FAKE
25,6951,FAKE
26,3003,REAL
27,6855,FAKE
28,3548,REAL
29,2050,REAL
30,4210,REAL
31,8128,FAKE
32,4414,REAL
33,8825,FAKE
34,3159,REAL
35,6388,FAKE
36,4638,FAKE
37,5094,REAL
38,3223,REAL
39,3049,REAL
40,9536,FAKE
41,7081,FAKE
42,8901,FAKE
43,6219,FAKE
44,6126,FAKE
45,8063,FAKE
46,935,REAL
47,5618,FAKE
48,6084,FAKE
49,9790,FAKE
50,8962,FAKE
51,1623,REAL
52,3385,REAL
53,2861,REAL
54,1774,REAL
55,10308,FAKE
56,8408,FAKE
57,3250,REAL
58,817,REAL
59,6440,FAKE
60,10210,FAKE
61,4720,REAL
62,9042,FAKE
63,9389,FAKE
64,8117,FAKE
65,5469,FAKE
66,6110,FAKE
67,8916,FAKE
68,6412,FAKE
69,10547,FAKE
70,3200,REAL
71,5221,REAL
72,4626,REAL
73,2996,REAL
74,5957,FAKE
75,1649,REAL
76,3416,REAL
77,3802,REAL
78,6885,FAKE
79,1145,REAL
80,5478,FAKE
81,4069,FAKE
82,6819,FAKE
83,3853,REAL
84,7179,FAKE
85,8163,FAKE
86,6666,FAKE
87,1396,REAL
88,9540,FAKE
89,2959,REAL
90,9539,FAKE
91,361,REAL
92,1122,REAL
93,10070,FAKE
94,1821,REAL
95,10175,REAL
96,2423,REAL
97,5242,REAL
98,3738,REAL
99,2745,REAL
100,523,REAL
101,5381,FAKE
102,2007,REAL
103,9706,FAKE
104,3571,REAL
105,1170,REAL
106,9914,FAKE
107,7611,FAKE
108,9712,FAKE
109,8419,FAKE
110,10387,FAKE
111,8619,FAKE
